stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
867,20603,PLAC ŚW. KATARZYNY 03,,53.013386,18.612342,,,
1909,33208,Wały gen. Sikorskiego 08,,53.0129985220872,18.6037386953831,,,
254,00202,Plac Rapackiego 02,,53.0101679860201,18.5992915928364,,,
338,20803,Plac Armii Krajowej 03,,52.998456,18.605284,,,
492,21001,Park Tysiąclecia 01,,52.998457,18.61037,,,
465,21105,Dworzec Główny 05,,53.000184,18.617336,,,
103,21301,Łódzka 01,,53.0014621980887,18.622550368309,,,
220,21501,Podgórska 01,,53.002541,18.627094,,,
43,53601,Rudacka nż. 01,,53.0032473989268,18.6314928531647,,,
40,25601,Szkoła nż. 01,,53.005976,18.642575,,,
525,25801,Skrzetuskiego nż. 01,,53.005111,18.650276,,,
612,34701,Działki Rudak 01,,53.005342,18.657673,,,
620,65800,GLINIECKA 00,,53.0036944946298,18.6675162613392,,,
666,12901,KOLANKOWSKIEGO 01,,53.028556,18.692048,,,
151,12802,Witosa 02,,53.025673,18.687454,,,
665,11804,Ligi Polskiej 04,,53.0227845493023,18.6880069971085,,,
312,12004,Wyszyńskiego 04,,53.023404,18.682113,,,
554,12102,Ślaskiego 02,,53.023734,18.675865,,,
504,16502,Jamontta 02,,53.025707,18.672528,,,
886,16104,Przy Skarpie 04,,53.024604,18.666122,,,
388,15801,Leszczynowa 1,,53.022646,18.654934,,,
268,35702,Plac Daszyńskiego 08,,53.022624,18.64472,,,
360,65902,Galeria Copernicus 02,,53.023266,18.640103,,,
514,35502,Dworzec Wschodni 02,,53.024047,18.63536,,,
681,02801,Garbaty Mostek 01,,53.019305,18.622073,,,
219,25202,Przy Kaszowniku 04,,53.01697,18.615519,,,
604,67104,Dworzec Autobusowy 04,,53.015366,18.605613,,,
139,28202,Aleja Solidarności 02,,53.0134939274969,18.603098988533,,,
572,07502,Legionów 02,,53.0169261078041,18.6038634181023,,,
720,13202,Dekerta 02,,53.019779,18.602471,,,
289,13402,Lelewela 02,,53.023319,18.60182,,,
117,36201,Lecha 01,,53.028603,18.600695,,,
46,28802,Żwirki i Wigury 02,,53.0286002541145,18.5911282896996,,,
591,29001,Bartkiewiczówny 01,,53.0327232025099,18.5880839824677,,,
64,22101,Bractwa Kurkowego nż. 01,,53.035355,18.585806,,,
533,29201,św. Antoniego 01,,53.040285,18.581994,,,
592,10403,Lisia 03,,53.042513,18.580987,,,
